"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"30","BEST HOMEMADE SLOPPY JOES RECIPE #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/7Tb5PanYJm",FALSE,0,NA,2016-09-29 14:52:09,FALSE,NA,"781506859215810560",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"31","""I pray that home does not get kidnapped by its dark sky"" #HomeCooking by the Octavia Collective - poets, WOC https://t.co/0JrJwF68F4",FALSE,0,NA,2016-09-29 14:48:42,FALSE,NA,"781505991510720512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","applessnakesne",0,FALSE,FALSE,NA,NA
"32","Chicken wings in cafe du Paris butter, potato and greenbelt salad #homecooking @ HomeSweetHome https://t.co/OiSc1kPLK8",FALSE,0,NA,2016-09-29 14:46:28,FALSE,NA,"781505429037846529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DSHCONSULTING",0,FALSE,FALSE,"18.960491","-33.767556"
"33","""as British as biscuits, as foreign as tea"" - Europe seen by the Octavia collective https://t.co/ilYcF0rjNN #HomeCooking @rachelnalong",FALSE,0,NA,2016-09-29 14:45:04,FALSE,NA,"781505078058442752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","applessnakesne",0,FALSE,FALSE,NA,NA
"34","#homecooking by me <ed><U+00A0><U+00BC><ed><U+00BD><U+00AF><ed><U+00A0><U+00BC><ed><U+00BD><U+009B><ed><U+00A0><U+00BC><ed><U+00BD><U+00B4><U+2764> @ <U+0E1A><U+0E49><U+0E32><U+0E19><U+0E1B><U+0E17><U+0E38><U+0E21><U+0E27><U+0E31><U+0E19> https://t.co/M5Y8SayeQa",FALSE,0,NA,2016-09-29 14:35:59,FALSE,NA,"781502790971580416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","belleciious",0,FALSE,FALSE,"100.53242106","13.75506008"
"35","Practice turkey take 1 #thanksgiving #homecooking https://t.co/YXA0RFt4my",FALSE,0,NA,2016-09-29 14:01:31,FALSE,NA,"781494118232883201",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ange_leung",0,FALSE,FALSE,NA,NA
"36","RT @kuhnperalta: Veal Scallopini with Tagliatelle! #veal #pasta #Foodie #homecooking @PhoodieLife @TwitterFood @FoodTastic https://t.co/E8c…",FALSE,0,NA,2016-09-29 13:30:26,FALSE,NA,"781486292349521920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LCaro294",7,TRUE,FALSE,NA,NA
"37","Cooking dinner for my better half: Chicken Maryland, Asparagus, Fried Noodles #homecooking… https://t.co/g5EGqbvkx1",FALSE,0,NA,2016-09-29 13:09:00,FALSE,NA,"781480900093616128",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kembang_tj",0,FALSE,FALSE,NA,NA
"38","There's TONS of benefits to eating at home. Here’s some inspiration that just might help #Top5 #HomeCooking #Cooking https://t.co/qYy6NZxqfM",FALSE,0,NA,2016-09-29 13:05:07,FALSE,NA,"781479922699235328",NA,"<a href=""https://mortgagebulletin.ca/"" rel=""nofollow"">Mortgage Bulletin</a>","SamiaNewton",0,FALSE,FALSE,NA,NA
"39","Pumpkin Oatmeal Raisin Cookies #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/srwlAbUh8C",FALSE,1,NA,2016-09-29 12:57:08,FALSE,NA,"781477913166315520",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"40","Cooking at home #homecooking #homemade https://t.co/rufVOIUM6I",FALSE,0,NA,2016-09-29 12:55:49,FALSE,NA,"781477581258264576",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kembang_tj",0,FALSE,FALSE,NA,NA
"41","Pork &amp; mushroom stir fry for dinner this evening <ed><U+00A0><U+00BC><ed><U+00BD><U+009C> #Homecooking #Lovetocook #StirFry #CookingFever",FALSE,0,NA,2016-09-29 12:53:26,FALSE,NA,"781476981267390464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Polly_Gregory",0,FALSE,FALSE,NA,NA
"42","This October Dine With a #Dineadian - https://t.co/WeygvbCHL8 #barbadosdining #homecooking #islandlife #Barbados #isleanddine",FALSE,1,NA,2016-09-29 12:46:00,FALSE,NA,"781475111308230656",NA,"<a href=""http://www.mailchimp.com"" rel=""nofollow"">MailChimp</a>","IsleandDine",0,FALSE,FALSE,NA,NA
"43","#homemade #soup #carrots #redlentils #coriander #chilli flakes #nomnom #comfort food #homecooking https://t.co/l8KtZSF0ZO",FALSE,1,NA,2016-09-29 12:29:44,FALSE,NA,"781471017575284736",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","GromKath",0,FALSE,FALSE,NA,NA
"44","Mama Mia! 
Spinach &amp; Chicken &amp; Mashroom Pizza

#chefdecuisine #me #homemade #homecooking… https://t.co/jJKoOvWj0G",FALSE,1,NA,2016-09-29 12:29:06,FALSE,NA,"781470858720051200",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_AnnaKonda_",0,FALSE,FALSE,NA,NA
"45","NHS Star baker!!!!! <ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><ed><U+00A0><U+00BC><ed><U+00BC><U+009F>
#nhs #starbaker #nigellawho

 #nigella #baking #baker #homecooking… https://t.co/dhMNuMC2x7",FALSE,1,NA,2016-09-29 12:25:34,FALSE,NA,"781469968281931776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MakeishaBirdine",0,FALSE,FALSE,NA,NA
"46","Tinowluhh with papayuhhh <U+2764><U+FE0F> #homecooking #ladyboycooks https://t.co/yJOUSjVe7x",FALSE,0,NA,2016-09-29 12:24:53,FALSE,NA,"781469797762686976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","krislimcaoco",0,FALSE,FALSE,NA,NA
"47","RT @sugarluvsbutter: Meatballs and Tomato Sauce
https://t.co/VpCDssejuZ #recipe #comfortfood #foodie #cooking #homecooking #meatballs https…",FALSE,0,NA,2016-09-29 12:11:48,FALSE,NA,"781466506932658176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kcrenshaw1234",3,TRUE,FALSE,NA,NA
"48","Apple Pie Dippers #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/L2tc10qIus",FALSE,0,NA,2016-09-29 11:55:09,FALSE,NA,"781462316713910272",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"49","Broad diet = wider variety of gut bacteria = lower levels of visceral fat? https://t.co/ttEaUA5QhK Time for some creative #homecooking!",FALSE,0,NA,2016-09-29 11:31:08,FALSE,NA,"781456270868017153",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CookandCount",0,FALSE,FALSE,NA,NA
"50","Udang Goreng Tepung! 
<ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>
.
.
.
#noviskitchen #homecooking #homemade… https://t.co/Ul0sSrp8l2",FALSE,0,NA,2016-09-29 11:17:33,FALSE,NA,"781452852686385152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","novia_denugraha",0,FALSE,FALSE,NA,NA
"51","RT @sugarluvsbutter: Meatballs and Tomato Sauce
https://t.co/VpCDssejuZ #recipe #comfortfood #foodie #cooking #homecooking #meatballs https…",FALSE,0,NA,2016-09-29 11:15:23,FALSE,NA,"781452309758898176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AthanLlewellyn",3,TRUE,FALSE,NA,NA
"52","Pancakes man, fucking pancakes! #recipes #food #homecooking #brunch
https://t.co/lkca0PoyEz https://t.co/ya7h8m7Uis",FALSE,0,NA,2016-09-29 11:14:09,FALSE,NA,"781451998897901568",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","Flawdonline",0,FALSE,FALSE,NA,NA
"53","RT @sugarluvsbutter: Meatballs and Tomato Sauce
https://t.co/VpCDssejuZ #recipe #comfortfood #foodie #cooking #homecooking #meatballs https…",FALSE,0,NA,2016-09-29 11:09:13,FALSE,NA,"781450756842979328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fork_tale",3,TRUE,FALSE,NA,NA
"54","Easy Salted Caramel Sauce Recipe: 10 Minutes Start to Finish! #instagood #homemade #DIY #love #homecooking... https://t.co/R9lonlks8a",FALSE,0,NA,2016-09-29 10:53:09,FALSE,NA,"781446713026416640",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"55","American as Apple Pie #signsofautumn #fallharvest #facsteacher #sweettreats #homecooking… https://t.co/LgAsyNuLTS",FALSE,0,NA,2016-09-29 10:49:33,FALSE,NA,"781445806511497216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tinsandtreasure",0,FALSE,FALSE,NA,NA
"56","I found I looove the taste of #harissa <ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+008B> #homecooking #originalrecipe 

Fried pork &amp; veggies… https://t.co/pcW4XEQBAE",FALSE,0,NA,2016-09-29 10:23:59,FALSE,NA,"781439371392069633",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hitoen9",0,FALSE,FALSE,"140.1","35.6"
"57","Meatballs and Tomato Sauce
https://t.co/VpCDssejuZ #recipe #comfortfood #foodie #cooking #homecooking #meatballs https://t.co/alaMkV62BJ",FALSE,1,NA,2016-09-29 09:40:05,FALSE,NA,"781428323490508801",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sugarluvsbutter",3,FALSE,FALSE,NA,NA
"58","SLOW COOKER APPLE OATMEAL #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/xsdu81T80H",FALSE,2,NA,2016-09-29 08:50:08,FALSE,NA,"781415754583437312",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"59","Restaurant quality meals cooked by your very own home Robochef :) https://t.co/aIlgRoSNED #food #homecooking… https://t.co/jMX0Q0Hyop",FALSE,1,NA,2016-09-29 08:50:00,TRUE,NA,"781415721888718848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Menugusto",0,FALSE,FALSE,NA,NA
"60","When we tried out our own #vegantapas!! 
#vegan #vegans #sverige #england #veganfoodhour #foodporn #foodshare… https://t.co/L4ov88w8nm",FALSE,1,NA,2016-09-29 08:33:05,TRUE,NA,"781411461830705156",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Swede_And_Brit",0,FALSE,FALSE,NA,NA
"61","HASSELBACK CHICKEN STUFFED WITH MOZZARELLA, TOMATO AND BASIL RECIPE #instagood #homemade #DIY #love #homecooking... https://t.co/i5REUeJHtk",FALSE,1,NA,2016-09-29 07:49:08,FALSE,NA,"781400402512273408",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"62","#cooking via https://t.co/yFNdtvsbdk <ed><U+00A0><U+00BC><ed><U+00BD><U+00BD> #comfortfood #homemade #balancedeating #realfood #homecooking #pies <ed><U+00A0><U+00BC><ed><U+00BD><U+00B4> https://t.co/U5bMNm40pk",FALSE,2,NA,2016-09-29 07:28:56,FALSE,NA,"781395319544307712",NA,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","Michellenels1",0,FALSE,FALSE,NA,NA
"63","RT @PerthGigolo: Tonight's dinner. Special spiced Lamb fillets :) #perthescorts #perth #escortwhocancook #homecooking #foodporn #maleescort…",FALSE,0,NA,2016-09-29 07:14:12,FALSE,NA,"781391610198290432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zwa3121",1,TRUE,FALSE,NA,NA
"64","RT @CreweDaniel: Part 2 #homecooking #whynot https://t.co/VYfLY3SCgQ",FALSE,0,NA,2016-09-29 07:09:11,FALSE,NA,"781390350002913280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yvo9F",1,TRUE,FALSE,NA,NA
"65","Polish Plum Butter #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/aPwcEpqPdy",FALSE,0,NA,2016-09-29 06:47:08,FALSE,NA,"781384799009304576",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"66","Winter is not yet over - warm more then your heart &amp; sole – Hot Soups and more
  @VZUGSYD #soup #food #winter… https://t.co/hjfRlDoyzI",FALSE,3,NA,2016-09-29 06:32:17,TRUE,NA,"781381063666835456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VZUGSYD",0,FALSE,FALSE,NA,NA
"67","2am, jet lagged, #gyoza #homecooking https://t.co/IOrlHeD3E5",FALSE,0,NA,2016-09-29 06:01:27,FALSE,NA,"781373305500545024",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cchandra",0,FALSE,FALSE,NA,NA
"68","Get Holiday Entertaining Ready with Finish! #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/XCkGKwwvFh",FALSE,0,NA,2016-09-29 05:46:08,FALSE,NA,"781369447550427136",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"69","Anyone else ever cooking, like, ""Garlic... Salt... Pepper..."" #SaltNPepa #homecooking #90sMusic https://t.co/EK1RIzapYG",FALSE,0,NA,2016-09-29 05:24:44,FALSE,NA,"781364064010121220",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RufusCricket",0,FALSE,FALSE,NA,NA
"70","EASY CROCKPOT PORK ROAST DINNER WITH ONLY 5 INGREDIENTS! #slowcoker #instagood #homemade #DIY #love #homecooking... https://t.co/RsAo1jioKM",FALSE,0,NA,2016-09-29 04:45:06,FALSE,NA,"781354091549192192",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"71","RT @SuzannePaschke: Taking a break from #amediting homemade sausage rolls for lunch. Nom! #homecooking https://t.co/wlYAp5Y0qC",FALSE,0,NA,2016-09-29 04:26:59,FALSE,NA,"781349530172284928",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","authorskmiller",1,TRUE,FALSE,NA,NA
"72","Taking a break from #amediting homemade sausage rolls for lunch. Nom! #homecooking https://t.co/wlYAp5Y0qC",FALSE,2,NA,2016-09-29 04:11:08,FALSE,NA,"781345541590364160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuzannePaschke",1,FALSE,FALSE,NA,NA
"73","RT @mimai1122: Daddy cooked #spaghetti! Always the yummiest for me!<ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BE><ed><U+00B4><U+0093>#food #homecooking #foodporn #foodie… https://t.co/D8w0s55YG4",FALSE,0,NA,2016-09-29 04:08:51,FALSE,NA,"781344965091790848",NA,"<a href=""http://www.sfxworks.net"" rel=""nofollow"">quantom_nom</a>","quantom_nom",1,TRUE,FALSE,NA,NA
"74","Daddy cooked #spaghetti! Always the yummiest for me!<ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BE><ed><U+00B4><U+0093>#food #homecooking #foodporn #foodie… https://t.co/D8w0s55YG4",FALSE,0,NA,2016-09-29 03:50:35,FALSE,NA,"781340370311446529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mimai1122",1,FALSE,FALSE,"124.67099212","8.46746674"
"75","BLACKBERRY COBBLER WITH VANILLA SAUCE #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/jiVZgw4Czd",FALSE,2,NA,2016-09-29 03:43:12,FALSE,NA,"781338511463047168",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
